tau,bt,hh,RGIId,GLIMSId,CenLon,CenLat,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,TermType,Surging,Linkages,Name,delz,Zela,abl_area,accu_area,hf_method,hf
40.688780528962816,-1.2265488656195462,-24.636225304812815,RGI60-01.00129,G212287E63534N,-147.713,63.534,2,1.547,1527,2345,1772,23.0,169,2331,0,9,9,,818,1700,0.6188,0.9281999999999999,hf_millan,49.90677760124203
59.56258491073257,-0.9358638743455497,22.835626252695253,RGI60-01.00130,G212090E63525N,-147.91,63.525,2,1.735,1268,1775,1464,20.0,6,1703,0,9,9,,507,1400,0.6940000000000001,1.041,hf_millan,55.74247148059396
33.68445521380665,-1.6235820244328099,-21.684762765535744,RGI60-01.00134,G213300E63405N,-146.7,63.405,2,1.329,1621,2163,1883,17.0,158,1823,0,9,9,,542,1850,0.5316,0.7974,hf_millan,54.68947598794852
35.351447701419914,-2.4885471204188483,32.05915172849031,RGI60-01.00135,G213270E63393N,-146.73,63.393,2,5.598,1299,2287,1779,15.0,88,5189,0,9,9,,988,1650,2.2392,3.3588,hf_millan,87.97374338000604
26.567537467790867,-2.2971204188481673,21.798621144270015,RGI60-01.00138,G212419E63634N,-147.581,63.634,2,2.629,1476,2664,1888,27.0,273,3216,0,9,9,,1188,1800,1.0516,1.5774,hf_millan,61.02883279577613
32.484675447891675,-1.7370200698080278,-23.02139429280751,RGI60-01.00140,G212352E63682N,-147.648,63.682,2,3.185,1505,2524,1838,24.0,2,3029,0,9,9,,1019,1750,1.274,1.911,hf_millan,56.42653321418792
82.06871849744819,-1.006762652705061,49.61759183262852,RGI60-01.00145,G212687E63738N,-147.313,63.738,2,1.009,1908,2363,2122,13.0,95,2028,0,9,9,,455,2050,0.40359999999999996,0.6053999999999999,hf_millan,82.62372073859585
44.51075638282969,-2.1978621291448515,-20.847880707451914,RGI60-01.00146,G212653E63731N,-147.347,63.731,2,1.788,1840,2347,2188,11.0,158,2788,0,9,9,,507,2150,0.7152000000000001,1.0728,hf_millan,97.82850579341385
15.47070122026184,-2.9848385689354275,-157.51719580125183,RGI60-01.00148,G212273E63673N,-147.727,63.673,2,6.425,1329,2407,1832,25.0,347,3389,0,9,9,,1078,1750,2.5700000000000003,3.8549999999999995,hf_millan,46.17754569071393
30.575737970519803,-1.4746945898778359,-24.636225304812815,RGI60-01.00149,G212330E63657N,-147.669830322,63.657150269,2,1.753,1542,2380,1787,23.0,53,2185,0,9,9,,838,1750,0.7012,1.0517999999999998,hf_millan,45.089875366647874
46.3747599105432,-1.3541666666666667,-2355.321213031299,RGI60-01.00152,G212177E63635N,-147.823,63.635,2,1.18,1609,2234,1869,22.0,22,1866,0,9,9,,625,1800,0.472,0.708,hf_millan,62.799154045527246
66.88500464189443,-1.2052792321116927,-20.847880707451914,RGI60-01.00159,G213229E63387N,-146.771,63.387,2,2.161,1530,2023,1752,11.0,214,2568,0,9,9,,493,1700,0.8644000000000001,1.2966,hf_millan,80.61510703456952
41.47174447914066,-1.2478184991273997,24.91787011830534,RGI60-01.00160,G213244E63407N,-146.756,63.407,2,1.433,1524,2053,1740,21.0,305,1666,0,9,9,,529,1700,0.5732,0.8598,hf_millan,51.74920995215633
17.563610879455403,-2.3467495636998255,-21.10021180134803,RGI60-01.00164,G212654E63747N,-147.346,63.747,2,1.013,1769,2577,2154,30.0,353,1883,0,9,9,,808,2100,0.4052,0.6077999999999999,hf_millan,41.21739616835548
51.964122078892025,-1.8291884816753927,21.04534800285778,RGI60-01.00165,G212705E63749N,-147.295471191,63.748699188,2,3.104,1792,2553,2142,14.0,138,4486,0,9,9,,761,2050,1.2416,1.8624,hf_millan,95.05217356708326
42.022646069945864,-1.8079188481675392,-27.760360278298595,RGI60-01.00171,G212764E63752N,-147.236175537,63.752128601,2,2.754,1745,2544,2076,18.0,75,3199,0,9,9,,799,2000,1.1016000000000001,1.6523999999999999,hf_millan,75.97353387972869
23.237541468011667,-3.3038830715532286,24.91787011830534,RGI60-01.00176,G212591E63691N,-147.409,63.691,2,10.001,1384,2731,1922,21.0,328,7261,0,9,9,,1347,1850,4.0004,6.0005999999999995,hf_millan,76.7741198806799
33.69835025197313,-1.6235820244328099,-2355.321213031299,RGI60-01.00181,G212475E63718N,-147.525,63.718,2,1.263,1771,2397,2034,22.0,324,1573,0,9,9,,626,2000,0.5052,0.7577999999999999,hf_millan,54.71203572214443
21.63414663535724,-1.4888743455497382,-31.414424475196043,RGI60-01.00185,G212624E63713N,-147.376,63.713,2,1.147,1790,2593,2101,29.0,335,1554,0,9,9,,803,2000,0.45880000000000004,0.6882,hf_millan,32.21052591324458
32.337483287723074,-3.112456369982548,-24.636225304812815,RGI60-01.00187,G212704E63708N,-147.296417236,63.708259583,2,7.246,1361,2914,1884,23.0,19,6824,0,9,9,,1553,1800,2.8984000000000005,4.3476,hf_millan,100.64900584807788
13.426705553502858,-1.850458115183246,-48.68874436072118,RGI60-01.00213,G212130E63559N,-147.87,63.559,2,1.129,1389,2220,1780,35.0,334,1228,0,9,9,,831,1650,0.4516,0.6774,hf_millan,24.84555625165532
30.998311159069303,-1.7086605584642234,-21.684762765535744,RGI60-01.00224,G213910E63493N,-146.09,63.493,2,1.108,1609,2425,1920,17.0,193,2835,0,9,9,,816,1850,0.44320000000000004,0.6648000000000001,hf_millan,52.96559165650312
27.00873167611338,-1.5172338568935428,-2355.321213031299,RGI60-01.00225,G213952E63492N,-146.048,63.492,2,1.047,1486,2227,1782,22.0,82,1758,0,9,9,,741,1700,0.4188,0.6282,hf_millan,40.97856213075231
33.700960237618894,-1.3116273996509598,-2355.321213031299,RGI60-01.00232,G214081E63404N,-145.919,63.404,2,1.034,1415,1901,1640,22.0,336,1520,0,9,9,,486,1600,0.4136,0.6204,hf_millan,44.20310284220846
50.33532395957786,-2.9777486910994764,-21.684762765535744,RGI60-01.00242,G213899E63531N,-146.101165771,63.531402588,2,9.635,930,2749,1494,17.0,41,9477,0,9,9,,1819,1350,3.854,5.781,hf_millan,149.8859450367011
80.89275060988025,-1.5101439790575917,-72.41207491556126,RGI60-01.00243,G213949E63515N,-146.051,63.515,2,1.937,1187,2109,1477,16.0,21,3428,0,9,9,,922,1400,0.7748,1.1622,hf_millan,122.15970028291798
60.979631689158445,-0.9713132635253054,-38.85338941905444,RGI60-01.00254,G213412E63272N,-146.588,63.272,2,1.181,1413,1789,1582,12.0,29,1653,0,9,9,,376,1550,0.47240000000000004,0.7086,hf_millan,59.23032506456762
33.1547895903014,-1.5526832460732984,24.91787011830534,RGI60-01.00275,G213744E63441N,-146.256,63.441,2,1.134,1481,2070,1758,21.0,61,2103,0,9,9,,589,1700,0.4536,0.6803999999999999,hf_millan,51.47888632394638
15.342669019984514,-4.75021815008726,139.0983764754631,RGI60-01.00291,G212286E63648N,-147.714,63.648,2,3.574,1330,2407,2100,19.0,248,4281,0,9,9,,1077,2000,1.4296,2.1443999999999996,hf_millan,72.88102484951196
