RGIId,Name,Area,hf,bt,tau,feq,Zmin,Zmax,Zela,Lmax,linear_feq,etcw_feq,gwi_feq
RGI60-01.16868,,1.367,37.42359155727738,-1.2265488656195462,30.511292787649538,0.6247661866562098,1177,1834,1350,1566,0.6298460534212074,0.3209657544423192,0.32122565323066443
RGI60-01.16871,,3.979,61.857954123725406,-1.786649214659686,34.62232743628294,0.5770470592147986,1998,2805,2250,3419,0.5825867084553868,0.2877876550378061,0.27683050799105297
RGI60-01.16872,,5.247,46.403411388084486,-2.4956369982547995,18.59381449326742,0.7699801837946862,2048,2954,2400,3536,0.7732125430882827,0.4834730140262562,0.514890962146177
RGI60-01.16882,,1.134,44.09836371084284,-2.5665357766143106,17.182056884870683,0.7874340601707082,1738,2577,2100,3359,0.790422450946524,0.5130212213736313,0.5458447952361981
RGI60-01.16885,,1.076,80.7663351775606,-0.9075043630017452,88.99828857065813,0.19159868073360098,2422,2875,2550,1713,0.19613612162799102,0.09683812590087862,0.06365100256849374
RGI60-01.16886,,1.437,72.7862121390627,-1.5243237347294938,47.74983848951176,0.4412113002745216,1385,1848,1600,1662,0.4474234354544139,0.21370158285435975,0.18036853570509426
RGI60-01.16888,,1.317,56.01828846548226,-1.5597731239092496,35.914382423184705,0.5624772101919077,1030,1560,1250,1944,0.5681361244318531,0.27869514066104834,0.26459788028606573
RGI60-01.16896,,2.24,93.8132247302335,-2.0418848167539267,45.94442544480666,0.45816059326881386,1312,2371,1600,3728,0.4643462467180737,0.22203287432215893,0.19060155275294208
RGI60-01.16898,,1.187,43.189626885671885,-1.3328970331588132,32.402823182310954,0.6025728859770805,1312,1937,1500,1607,0.6078784558707795,0.3048032310383559,0.2996928145297821
RGI60-01.16901,,2.207,69.55100873545467,-4.941644851657941,14.074465248574073,0.8258740059870056,1053,2177,1750,2901,0.8283229585283262,0.5874403282413152,0.6200020946025823
RGI60-01.16902,,9.326,109.58900222276903,-2.93520942408377,37.33600789217192,0.5467156404840224,1086,1909,1500,6270,0.5524918439705441,0.2692827032046483,0.2519701181388725
RGI60-01.16903,,1.019,51.44649390532912,-1.5455933682373473,33.28591786337737,0.5923453862271101,1382,1856,1600,1715,0.5977482864133716,0.2978033490004754,0.2903018814507286
RGI60-01.16910,,3.26,88.86674468568168,-1.8717277486910995,47.47845660130126,0.4437218675473089,1636,2270,1900,3309,0.44993121840183037,0.21492622170281234,0.18185850376302037
RGI60-01.16923,,1.126,61.11182847290469,-1.8291884816753927,33.4092572116631,0.5909242355764954,1642,2385,1900,2294,0.5963397225681464,0.29685052381008004,0.289021831498445
RGI60-01.16933,,2.082,68.84165084691766,-1.4888743455497382,46.2373813160836,0.455370804520379,1640,2361,1850,3080,0.4615626619522215,0.22065115921527625,0.18888877728758063
RGI60-01.16940,,1.292,70.8293202721642,-1.6094022687609075,44.00970574416817,0.4769661670243405,1523,1971,1750,1406,0.4831021956377007,0.23147696450574548,0.20245957021760616
RGI60-01.16944,,1.561,87.54413461431378,-1.3683464223385688,63.97804911470935,0.3143564879662765,1457,2109,1650,2685,0.3202193665537785,0.15414429270340435,0.11457447330481395
RGI60-01.16955,,1.429,28.5130990374856,-1.318717277486911,21.621843835869974,0.7326051462609989,1764,2535,1950,974,0.7363519060030178,0.4288226904506707,0.4546137577425154
RGI60-01.16956,,1.533,45.408523968350494,-1.900087260034904,23.898125587935553,0.7046262773268912,1732,2580,2000,1986,0.7087468925540579,0.3947455613499511,0.41465558381782913
RGI60-01.16961,,1.254,41.51284477986898,-1.0280322862129145,40.380876492502786,0.5139865123491646,1655,2466,1800,1771,0.5199645259170924,0.25088432678958045,0.2275492275299926
RGI60-01.16969,,2.517,64.44414255467868,-3.112456369982548,20.705235638384234,0.7439056583260326,1411,2299,1850,2931,0.7474982609635176,0.4441690749525662,0.47198290563193407
RGI60-01.16993,,8.649,77.05759691005315,-2.4176483420593367,31.872955040440665,0.608751897240576,1959,2725,2300,5417,0.6139966089245177,0.30916258269842145,0.3055245090190595
RGI60-01.17007,,3.206,82.50360053963833,-1.7370200698080278,47.49720626357326,0.44354798983379395,2055,2872,2300,3937,0.44975839373898935,0.21484177628688525,0.1817552291715713
RGI60-01.17021,,1.328,53.9161149057484,-2.474367364746946,21.789858560983088,0.7305354809681638,1851,2594,2200,1909,0.7343104300121231,0.42611582873604026,0.45151120710887277
RGI60-01.17025,,1.553,106.24486071858917,-0.6026396160558464,176.29916435620373,0.049373004239990026,1765,2111,1850,1457,0.05095028616033741,0.026457554990500134,0.014783397760846775
RGI60-01.17028,,1.185,33.929403236051364,-5.62227312390925,6.034819456166823,0.9253384720529564,2057,3201,2850,2172,0.9263885247182733,0.819151860990134,0.8348770686370484
RGI60-01.17049,,1.087,39.88036513564473,-1.9213568935427574,20.756354672925966,0.7432750543748345,1129,1800,1400,1780,0.7468763035940271,0.4432868997712008,0.4709943758633665
RGI60-01.17073,,1.913,82.71412995213822,-0.5459205933682374,151.51311556467596,0.06890653649661982,1823,2299,1900,1657,0.07100197046110275,0.03652455766327994,0.020960656245947437
RGI60-01.17077,,1.998,76.40237354120362,-0.9216841186736474,82.89431486695322,0.21524386826406328,1720,2185,1850,2151,0.22011735102411284,0.10803489173241927,0.07273077570870462
RGI60-01.17091,,4.575,75.77877801468756,-2.5594458987783595,29.60749357931624,0.6354946195933758,1689,2615,2050,3650,0.6404578159076452,0.329323261277607,0.3322462387463436
RGI60-01.17095,,2.386,74.04135737581275,-3.0344677137870857,24.400113746277903,0.6984781078115082,1722,2758,2150,3608,0.7026788469647133,0.387936754985851,0.40642939982434817
RGI60-01.17103,,1.195,66.10242741015475,-1.6306719022687608,40.53692672216045,0.5123489452531661,1720,2403,1950,2439,0.5183350369193296,0.24999781782945404,0.22638574360760275
RGI60-01.17115,Rex Glacier,1.049,56.577927612791875,-0.794066317626527,71.25088466402141,0.2709516813254514,1638,2128,1750,1255,0.2764614924088378,0.1340649744411875,0.09542908576790682
RGI60-01.17119,,1.132,111.52915651134613,-0.8153359511343804,136.78920493592258,0.08546491174515675,1735,2135,1850,2555,0.08796755827093986,0.04493664715573899,0.026326285308765164
RGI60-01.17126,,1.573,109.07250850131625,-2.318390052356021,47.04665998306598,0.44774358678204135,1773,2260,2100,2333,0.45394826175707104,0.21689486365100066,0.18426382726987797
RGI60-01.17127,,1.035,58.19943226628095,-2.1269633507853403,27.362686923962244,0.6624336244370745,1750,2191,2050,1819,0.6670849544353117,0.35217930782139345,0.3618677043687228
RGI60-01.17128,,1.271,57.21673019724037,-1.5455933682373473,37.01926481639377,0.550202010884528,1732,2200,1950,1253,0.5559524665101928,0.2713295067159512,0.254711417173937
RGI60-01.17139,,4.303,81.4443594343318,-1.8788176265270506,43.34873075726873,0.48354140956293507,1735,2604,2000,3216,0.4896539755162503,0.23483687894037505,0.20673929994258372
RGI60-01.17142,,1.092,48.61072406892447,-2.006435427574171,24.227405178793127,0.7005922986686889,1967,2860,2250,2192,0.7047654535997064,0.3902524440417972,0.4092364586793398
RGI60-01.17144,,1.045,50.829357113040565,-1.3683464223385688,37.1465560791037,0.5487991456926127,2007,2623,2200,1705,0.5545604443227401,0.2705038445048743,0.25360501610046715
RGI60-01.17154,,4.696,79.15044002669464,-5.111801919720768,15.483862886263447,0.8084384605404388,1629,3327,2350,5505,0.8111323273699698,0.55212854852885,0.5854006754740905
RGI60-01.17160,,1.484,35.15083986082189,-2.580715532286213,13.620579029755497,0.83148924167874,1936,2782,2300,2046,0.8338590790469553,0.5993241136889959,0.6314520025481625
RGI60-01.17165,Guerin Glacier,20.844,198.4282564273759,-3.8994328097731237,50.88644069723588,0.4131507714520974,1450,4090,2000,11096,0.4193717758652673,0.20020069618843814,0.1642852624546371
RGI60-01.17166,,2.757,53.92138200957617,-3.388961605584642,15.91088607221739,0.8031561967169992,2122,3195,2600,3265,0.805924097557862,0.5419317106494932,0.5752245293699862
RGI60-01.17170,,2.028,45.05150317965005,-1.8859075043630018,23.8885009341256,0.7047442480420794,2084,2882,2350,2722,0.7088632462956242,0.3948784234792505,0.41481529467226513
RGI60-01.17171,,12.638,84.69762366221538,-5.25359947643979,16.121827338008732,0.8005469679867784,1609,3067,2350,8135,0.803351625181888,0.5369839073178347,0.5702535226637382
RGI60-01.17175,,2.366,45.2983286872368,-2.3113001745200696,19.598635082802595,0.757565450599253,2024,2859,2350,2738,0.7609698659498398,0.4640574891585219,0.49396346827249615
RGI60-01.17176,,1.632,59.7011770757801,-3.3676919720767886,17.72762401395148,0.7806879210587313,1725,2828,2200,2998,0.783770585506114,0.5012836610903052,0.5336698118045949
RGI60-01.17177,,3.927,58.319289085175484,-4.119219022687609,14.157850981938006,0.824842411212703,1769,2858,2350,3319,0.8273058113776641,0.5852830915914349,0.6179139429051624
RGI60-01.17183,Klutlan Glacier,958.616,420.38619518767234,-9.06086387434555,46.3958184360248,0.4538683880669642,1122,4958,2400,80392,0.4600616243986067,0.2199079294650131,0.18797072356438727
RGI60-01.17185,,1.194,49.14595049864987,-3.0840968586387434,15.935281137811565,0.8028544389986269,2015,2704,2450,2798,0.8056265318345235,0.5413564474607704,0.5746477102163957
RGI60-01.17187,,1.13,41.03576045224432,-1.694480802792321,24.217306200590663,0.7007159599568293,2261,3008,2500,2064,0.7048875254599495,0.3903887213597736,0.4094013488236283
RGI60-01.17188,,8.51,108.67194345498896,-5.494655322862129,19.777754393952137,0.755353399423383,1725,3392,2500,7617,0.7587883384245019,0.46073387650117,0.4903299025339047
RGI60-01.17190,,3.352,62.86750852463383,-4.5517015706806285,13.811869593909487,0.8291226892458127,1558,2974,2200,4664,0.8315260065772105,0.594286925855539,0.6266094891829032
RGI60-01.17193,,1.442,41.5732773050258,-1.5243237347294938,27.273259844899933,0.6635143770677487,1935,2520,2150,2264,0.6681532019105313,0.3531588947568629,0.3631182850808974
RGI60-01.17194,,3.429,63.13364507986066,-2.2758507853403143,27.740678557017134,0.6578713801749619,1829,2683,2150,3764,0.6625773962744964,0.3481016416546432,0.35664391658602906
RGI60-01.17195,Ewe Glacier,8.386,69.24445881468229,-2.9281195462478187,23.648098283218744,0.7076919542702583,1737,3078,2150,6246,0.7117719243680733,0.39822681782510927,0.4188297415534088
RGI60-01.17196,,2.235,50.775076168522254,-1.467604712041885,34.59724253534091,0.5773321308791798,1443,2690,1650,2324,0.5828684649839085,0.28796925035317367,0.2770752829466622
RGI60-01.17226,,3.875,65.94646290206413,-4.055410122164049,16.26135481135352,0.7988211353660438,1578,2741,2150,4777,0.8016500513843479,0.5337438273656091,0.5669860060140158
RGI60-01.17248,,1.373,43.09694824210425,-3.225894415357766,13.359689652869374,0.8347168525938321,2095,3251,2550,2548,0.8370414096763003,0.6062599681790739,0.6380951689732326
RGI60-01.17268,,2.69,84.03436498309466,-2.963568935427574,28.355798975524912,0.6504684796896509,2132,2913,2550,2853,0.6552618100975535,0.34167229588343756,0.3483519208248983
RGI60-01.17305,,5.378,90.54495010771298,-2.5239965095986037,35.873643154170814,0.5629331309923533,1594,2791,1950,5417,0.5685880458023348,0.27897345107106836,0.26497217452744326
RGI60-01.17306,,23.265,198.24759954702577,-5.537194589877836,35.80289555101216,0.5637254292763537,969,3196,1750,13874,0.569374467637336,0.27945851945622996,0.26562415893640967
RGI60-01.17313,,1.694,41.039017762148326,-4.565881326352531,8.988191945613373,0.8887999634729349,1506,2830,2150,2840,0.8903639215306398,0.7309060136195511,0.7542061372392913
RGI60-01.17315,,1.516,37.249675556073804,-2.1907722513089003,17.002988573467,0.7896485512116848,1791,2943,2100,2477,0.7926059863104561,0.5169617354633623,0.5498986155382344
RGI60-01.17316,Twaharpies Glacier,54.668,234.20801143060368,-6.090205061082024,38.456506649875074,0.5345032121833002,891,4364,1750,23408,0.5403612091022658,0.2622530058773323,0.2425871393444798
RGI60-01.17321,,2.88,181.79417535321812,-1.6164921465968587,112.4621457245819,0.12606038078312276,1572,2089,1800,3353,0.12945108091235324,0.0651593520475929,0.03998533587246143
RGI60-01.17322,,1.018,88.66954848684962,-1.269088132635253,69.86870825332508,0.27864068578338985,1621,2270,1800,2298,0.2842217498517212,0.13762970500755567,0.09872037845090996
RGI60-01.17341,,1.533,55.32734147522739,-3.4456806282722514,16.05701382225023,0.8013486673309654,1214,2704,1700,3561,0.8041422368416451,0.5384979301786833,0.5717770191670708
RGI60-01.17342,,5.087,71.784387693904,-6.473058464223386,11.089717185571013,0.8628003355476408,1287,2601,2200,4779,0.8647299372220749,0.6693849081349587,0.6974929715893778
RGI60-01.17348,Russell Glacier,361.864,331.3778135208098,-7.671247818499127,43.197380838316285,0.48505768353088635,1218,5003,2300,37506,0.49116511572719884,0.2356167867681005,0.2077366591352942
RGI60-01.17349,,1.752,51.50557250055229,-5.8207897033158815,8.848554083857648,0.8905275339715345,1429,2629,2250,3065,0.8920671999045213,0.7350524319346431,0.7580064239944145
RGI60-01.17355,,3.957,72.93097208539521,-2.467277486910995,29.55929054283392,0.6360688630524731,1702,2628,2050,3186,0.6410254177642705,0.32978151884146273,0.33284795685241086
RGI60-01.17359,,6.905,106.89998294769357,-2.5169066317626525,42.47276462251158,0.49237185545898177,1845,3241,2200,6301,0.49845088746818594,0.23940439665226412,0.212602818214359
RGI60-01.17362,,1.151,65.4223369747911,-1.8150087260034904,36.04519142938009,0.5610148689913281,2194,2887,2450,2584,0.5666858908451778,0.2778046475726033,0.2634007350495285
RGI60-01.17370,,1.072,44.321354835636555,-2.0773342059336826,21.335688166611494,0.7361314198426185,1907,2725,2200,2118,0.7398303125183158,0.43350767301270804,0.45995560406907826
RGI60-01.17374,,4.66,70.51384244749619,-4.183027923211169,16.857129271411868,0.7914524317121163,1660,2727,2250,4790,0.7943847057362903,0.5202036135728884,0.5532215215020898
RGI60-01.17375,,5.434,58.254279214214705,-2.757962478184991,21.122216010912418,0.7387630244320055,1711,3073,2100,4442,0.7424262095508349,0.4370648608030212,0.4639881986387343
RGI60-01.17377,,2.38,68.06945097220952,-2.424738219895288,28.072907175583307,0.6538696494238041,2108,3009,2450,3146,0.6586229508820921,0.3445980314199513,0.35213360569499846
RGI60-01.17380,,2.105,82.1121273545383,-2.9777486910994764,27.575237494007588,0.6598670135907724,2130,3250,2550,3370,0.6645494668271611,0.34987431951659437,0.358918173956991
RGI60-01.17388,,5.204,62.665426144112836,-2.68706369982548,23.32115392284256,0.7117039237452093,1721,2697,2100,4519,0.7157309656542107,0.4028724050567012,0.4243665481293503
RGI60-01.17396,,4.209,70.4692106881169,-2.261671029668412,31.158028627376694,0.6171365843708749,1881,2423,2200,3563,0.6222964290859311,0.3152475482915722,0.31363689307588294
RGI60-01.17397,,1.425,57.8035272315163,-1.4392452006980803,40.162390121905375,0.5162859716647699,1947,2410,2150,2212,0.5222511161704225,0.25213342176198505,0.22919158238842946
RGI60-01.17404,,1.938,59.62758590056394,-2.467277486910995,24.167361075878436,0.7013275919020092,1652,2526,2000,3382,0.7054910281570934,0.3910640157576065,0.4102179937511119
RGI60-01.17408,,2.199,54.13166845678755,-2.8217713787085517,19.18357697765088,0.7626925006515379,1652,2680,2050,2744,0.766025604489863,0.4719174207767275,0.5024958413018271
RGI60-01.17414,,1.391,41.809093842923936,-2.2971204188481673,18.200653957831275,0.7748398468634531,1876,2532,2200,1752,0.7780041725899528,0.491432355607493,0.5233301675816366
RGI60-01.17418,,3.922,50.27887464314732,-2.4105584642233855,20.85777025920247,0.7420241140671053,1710,2536,2050,3255,0.7456425272256647,0.44154609556546687,0.46904021063438606
RGI60-01.17422,,1.555,69.26354712064605,-1.637761780104712,42.29158841172714,0.49421469403897306,1969,2524,2200,2316,0.5002869059233522,0.2403663324779551,0.21384384214836175
RGI60-01.17423,Barnard Glacier,512.357,351.4349414288444,-10.861692844677139,32.35544831311152,0.6031240803583269,518,4987,2050,52514,0.6084248132309048,0.305188240632716,0.30020823667651875
RGI60-01.17424,,2.272,43.469606838473815,-2.4956369982547995,17.418241061849997,0.7845134074330704,1798,2943,2150,3122,0.7875427100189957,0.5078903816662754,0.5405414680093867
RGI60-01.17425,,1.209,60.45576345060544,-1.5952225130890052,37.898012944625684,0.5405664776285755,1775,2710,2000,2721,0.5463842027184718,0.26571609798955237,0.24720332890932653
RGI60-01.17429,,2.117,64.58444544186223,-2.467277486910995,26.176401229486867,0.6768105247939132,1852,2840,2200,2848,0.6812868669605655,0.36564968605930254,0.37892117320429297
RGI60-01.17432,,1.01,28.109468460314158,-2.3892888307155324,11.764784608270267,0.854448551915167,1963,2809,2300,2034,0.8564956196543875,0.6501516885894219,0.6795675432697476
RGI60-01.17434,Ram Glacier,32.945,152.12588459603532,-7.621618673647469,19.95978690485083,0.7531057382701429,1025,3500,2100,16018,0.7565718270095846,0.4573980772676407,0.48666731276785496
RGI60-01.17436,,2.888,74.49159581738984,-2.8075916230366493,26.532204757336054,0.6724896362181333,1804,2457,2200,3081,0.6770192899882702,0.36149833221704053,0.373699286279106
RGI60-01.17437,,1.105,53.569974429124876,-1.2336387434554974,43.4243612348556,0.4827852050757427,1826,2386,2000,1916,0.4889009766229152,0.23444897261922487,0.20624351535312627
