case,RGIId,Name,Area,bt,hf,tau,feq,feq_linear,feq_gwi,feq_etcw,Zmin,Zmax,Zela,Lmax,aar,hyps_ela,hyps_aar
0.6,RGI60-01.16289,,1.061,-2.963568935427574,43.917228790546744,14.819033991598548,0.8166628126501917,0.8192412597364298,0.6014946510898586,0.5684704162693962,1982,2883,2400.0,1787,,,
0.6,RGI60-01.16291,,2.843,-2.8075916230366493,86.3136528784454,30.74295142150689,0.6220285764356646,0.6271365630012432,0.3176919280092474,0.3185341476565224,1754,2764,2150.0,3830,,,
0.6,RGI60-01.16293,,7.525,-2.162412739965096,65.09242181367009,30.10175652901525,0.6296182972175042,0.6346460160884609,0.32541080068880807,0.32436393629768745,1895,2676,2200.0,6441,,,
0.6,RGI60-01.16295,,4.298,-2.1978621291448515,76.13587346872022,34.640877814452956,0.5768363003331062,0.5823771851248204,0.27562667836273724,0.28713965298900523,1890,2770,2200.0,3269,,,
0.6,RGI60-01.16298,,1.102,-1.2619982547993018,50.184669288642674,39.766036995529475,0.5204772020285902,0.5264190717213224,0.23091973971803306,0.25371662620891194,2022,2568,2200.0,1448,,,
0.6,RGI60-01.16302,,1.591,-1.9355366492146597,54.15317712058186,27.978378576584642,0.6550074575527827,0.6597473586582694,0.35279423577047947,0.345331717302125,1877,2524,2150.0,2658,,,
0.6,RGI60-01.16304,,3.667,-2.4034685863874343,65.37060422690067,27.198443365201967,0.6644189560443495,0.6690467306140833,0.36360168584262514,0.35375391514576626,1961,2728,2300.0,3224,,,
0.6,RGI60-01.16308,,2.871,-2.538176265270506,82.3519176789413,32.4453107555021,0.6020787682276624,0.6073886656994807,0.29833938922662206,0.30403305909520356,1892,2679,2250.0,3798,,,
0.6,RGI60-01.16309,,6.348,-4.097949389179756,99.62361296909562,24.31060110994593,0.69957372017582,0.7037604101341555,0.4074843521649244,0.3889939544324803,1772,2899,2350.0,6016,,,
0.6,RGI60-01.16310,,1.902,-1.8150087260034904,47.36516425812467,26.096383769139845,0.6777832326384242,0.6822468664400348,0.37960787609964136,0.3664042406687391,2044,2779,2300.0,1937,,,
0.6,RGI60-01.16311,,3.189,-4.416993891797556,63.95717537598855,14.479797106977728,0.8208595323466991,0.8233789437997016,0.6098634856022233,0.5770280338771238,1827,2932,2450.0,4372,,,
0.6,RGI60-01.16312,,8.819,-4.75021815008726,110.32991933282803,23.226284740375828,0.7128687158078805,0.7168802747152786,0.42565189065598963,0.4041288984629126,1680,3450,2350.0,8595,,,
0.6,RGI60-01.16313,,2.917,-1.4463350785340314,69.10950175289952,47.78249713956129,0.44091006175644104,0.44712257203836825,0.1786005734631056,0.21260037796196443,2046,2621,2250.0,2233,,,
